#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
2553	  8440	 	     0.210	 	     0.000	 956	  12/89;
2553	 14965	<	     0.690	 	     0.000	 745	  09/85;
2554	  4885	 	     1.360	<	     0.530	 636	  3 obs. 02/86; comp.A;
2555	  4800	 	    13.000	 	     0.000	1051	  07/93;
2555	  5000	 	    11.000	 	     0.000	 244	  /74; same data in (351);
2555	  8650	 	    20.300	 	     0.000	1051	  07/93;
2555	 14500	 	    32.000	 	     0.000	 244	  /78; same data in (351);
2555	230000	<	    38.000	 	     0.000	1051	  09/94;
2556	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
2557	275000	<	    20.000	 	     0.000	1006	  05/91;
2557	375000	<	    20.000	 	     0.000	1006	  05/91;
2558	230000	 	   277.000	 	     0.000	1129	  03/93;
2559	  1400	<	     0.600	 	     0.000	1161	  02/94; intended companion pulsar search;
2559	  1465	<	     2.300	 	     0.000	 463	  03/83;
2559	  2695	<	    50.000	 	     0.000	  51	  /71;
2559	  4860	<	     0.300	 	     0.000	 692	  /?;
2559	  4885	<	     0.600	 	     0.000	 308	  07/79;
2559	  4885	<	     1.000	 	     0.000	 463	  03/83;
2559	  8085	<	    50.000	 	     0.000	  51	  /71;
2559	 10600	<	    21.000	 	     0.000	 351	  72-79;
2559	 10650	<	   260.000	 	     0.000	 463	  02/83;
2559	 14965	<	     2.000	 	     0.000	 463	  03/83;
2559	 22500	<	    80.000	 	     0.000	 563	  02/78;
2559	250000	<	     7.000	 	     0.000	 950	  03/89;
2559	250000	 	    17.400	<	    18.000	1400	  2 obs. 03/91-12/92;
2560	  4885	<	     0.210	 	     0.000	1001	  01-04/92;
2561	   960	<	   100.000	 	     0.000	1392	  03-04/97;
2561	  2300	<	    40.000	 	     0.000	1392	  03-04/97;
2561	  3900	<	    19.000	 	     0.000	1392	  03-04/97;
2561	  7700	<	    30.000	 	     0.000	1392	  03-04/97;
2561	 11200	<	    40.000	 	     0.000	1392	  03-04/97;
2561	 21700	<	   160.000	 	     0.000	1392	  03-04/97;
2562	  4885	<	     0.800	 	     0.000	 817	  ?;
2563	  8400	<	     6.900	 	     0.000	 617	  9 obs. 81-84;
2564	  8400	<	     6.600	 	     0.000	 714	  11 obs. 02/87-07/88;
2565	  4800	<	     0.120	 	     0.000	1390	  04/98;
2565	  8640	<	     0.150	 	     0.000	1390	  04/98;
2565	 14700	<	    22.000	 	     0.000	 263	  06/77;
2565	 14700	<	    15.000	 	     0.000	 267	  06-08/77;
2566	  8440	 	     0.200	 	     0.120	 952	  2 obs. 02/90-02/91; part of data in (892);
2566	115000	 	    13.700	 	     0.000	1255	  09/95-05/96;
2566	225000	<	    20.000	 	     0.000	 905	  09/90;
2566	230000	 	    45.000	 	     0.000	1255	  09/95-05/96;
2566	236000	<	   108.000	 	     0.000	1036	  03/93;
2566	375000	 	   123.000	 	     0.000	1159	  02/92-03/93;
2567	  4800	 	     3.540	 	     0.000	1051	  07/93;
2567	  8440	 	     4.050	 	     0.000	 956	  12/89;
2567	  8650	 	     3.680	 	     0.000	1051	  07/93;
2567	  8900	 	    15.000	 	     0.000	 244	  /77;
2567	  8900	<	    25.000	 	     0.000	 351	  01/75;
2567	 14500	 	    14.000	 	     0.000	 244	  /77; same data in (351);
2567	230000	 	    35.000	<	    21.000	1051	  3 obs. 05/92-03/94;
2568	  2695	<	     8.000	 	     0.000	 254	  08/74-12/76;
2568	  2700	<	    15.000	 	     0.000	 254	  02/76;
2568	  4885	 	     3.600	 	     0.000	 487	  08/83-03/84;
2568	  4885	<	     1.000	 	     0.000	 515	  09/83;
2568	  5000	<	     8.000	 	     0.000	 220	  10-11/76;
2568	  5000	<	     1.030	 	     0.000	1038	  12/90;
2568	  8085	<	     8.000	 	     0.000	 254	  08/74-12/76;
2568	 10600	<	    25.000	 	     0.000	 203	  08/74;
2569	  4800	<	     1.400	 	     0.000	 855	  04/90-05/91;
2569	  8400	 	     5.900	<	     4.000	 714	  14 obs. 02/87-07/88;
2570	  4885	 	     0.390	 	     0.300	 436	  08/82; possible detection of a double separated 2.6";
2570	  8440	<	     0.080	 	     0.000	1088	  04/92;
2571	 14965	<	     2.300	 	     0.000	 703	  09/86-04/87;
2572	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
2573	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
2574	  4860	<	     0.090	 	     0.000	1223	  09/91;
2574	  8440	<	     0.090	 	     0.000	1223	  09/91;
2575	  5000	<	    10.000	 	     0.000	 209	  11/74;
2575	 14500	<	    15.000	 	     0.000	 244	  /77;
2576	  4885	<	     0.200	 	     0.000	 817	  ?;
2577	  2380	<	     1.000	 	     0.000	 504	  15 obs. 05 /80-06/83;
2578	  1465	 	     1.700	<	     0.460	 913	  4 obs. 03/90;
2578	  1465	 	     1.700	<	     0.460	 983	  4 obs. 04/90; flux range identical to (913);
2578	  2695	<	     5.000	 	     0.000	  81	  05-11/71;
2578	  4800	<	     1.300	 	     0.000	1390	  04/98;
2578	  4885	<	     0.530	 	     0.000	 568	  06/88;
2578	  4885	 	     0.570	<	     0.130	 913	  4 obs. 03/90;
2578	  4885	 	     0.570	<	     0.130	 983	  4 obs. 04/90; flux range identical to (913);
2578	  5000	 	    18.600	 	     0.000	1233	  09/95;
2578	  8085	<	     5.000	 	     0.000	  81	  05-11/71;
2578	  8640	<	     0.200	 	     0.000	1390	  04/98;
2578	 14700	<	    50.000	 	     0.000	 267	  06-08/77;
2579	  4885	<	     0.100	 	     0.000	1024	  07/92;
2579	  8440	<	     0.100	 	     0.000	1024	  07/92;
2580	  4760	 	    41.800	 	     0.000	1286	  04/97;
2580	  8400	 	    51.700	 	     0.000	1286	  04/97;
2581	  4885	<	     0.100	 	     0.000	1024	  07/92;
2581	  8440	<	     0.100	 	     0.000	1024	  07/92;
2582	  4885	<	     0.180	 	     0.000	 886	  10/88;
2583	  4760	 	     0.320	 	     0.000	 869	  02/90;
2583	240000	<	    15.000	 	     0.000	 996	  03/89-03/92;
2584	240000	 	   130.000	 	     0.000	 996	  03/89-03/92;
2585	240000	<	    25.000	 	     0.000	 996	  03/89-03/92;
2586	  4995	 	     1.500	 	     0.000	 367	  /78;
2586	 15000	<	     9.000	 	     0.000	 368	  10/79;
2586	 23000	<	     4.000	 	     0.000	 368	  10/80;
2586	240000	 	   300.000	 	     0.000	 996	  03/89-03/92;
2586	250000	<	    43.000	 	     0.000	 950	  12/86-01/87;
2587	  8440	<	     0.150	 	     0.000	 886	  10/88;
2587	 14965	<	     0.400	 	     0.000	 502	  04-07/84; same data in (616);
2588	  4860	 	     0.400	<	     0.000	 692	  2 obs. 05/81-08/85; part of data in (628);
2588	 14700	<	     5.000	 	     0.000	 306	  06/77-05/78;
2588	 14940	 	     0.400	 	     0.000	 692	  08/85;
2589	  1465	 	     0.970	 	     0.000	 745	  06/87;
2589	  2300	 	     6.370	 	     0.000	1051	  07/93;
2589	  4800	 	     3.490	 	     0.000	1051	  07/93;
2589	  4885	 	     2.330	 	     1.770	 745	  3 obs. 07/82-06/87; part of data in (458);
2589	  8440	 	     4.560	 	     0.000	 956	  09/89;
2589	  8650	 	     4.520	 	     0.000	1051	  07/93;
2589	 10600	<	    24.000	 	     0.000	 351	  72-79;
2589	 14500	<	    15.000	 	     0.000	 244	  /77;
2589	 14500	<	    18.000	 	     0.000	 351	  72-78;
2589	 14965	 	     3.560	 	     2.630	 745	  2 obs. 04/85-06/87;
2589	230000	 	    35.000	<	    21.000	1051	  07/93;
2590	  2695	<	     8.000	 	     0.000	 212	  /75;
2590	  8085	<	     8.000	 	     0.000	 212	  /75;
2590	  8400	<	     5.400	 	     0.000	 617	  8 obs. 81-84;
2591	  4885	 	     1.250	 	     0.000	 358	  07/80;
2591	  4885	 	     1.700	 	     1.400	 516	  2 obs. 05/81-04/84;
2591	  4885	 	     1.600	 	     1.320	 707	  2 obs. 01/81-04/83; part of data in (386);
2591	 14940	 	     2.800	 	     0.000	 516	  04/84;
2591	 14970	 	     3.500	 	     0.000	 707	  04/83;
2591	230000	 	    11.600	 	     0.000	 807	  09/90;
2592	  4885	<	     0.960	 	     0.000	 736	  10/86;
2593	  1465	<	     0.780	 	     0.000	 600	  05/84;
2594	 14965	<	     1.800	 	     0.000	 703	  09/86-04/87;
2595	  8440	<	     0.082	 	     0.000	1097	  01/93;
2596	  4860	 	     2.000	 	     1.200	 692	  3 obs. 05/81-04/84; part of data in (628);
2596	 14700	<	    10.000	 	     0.000	 306	  06/77-05/78;
2596	 14965	 	     4.300	 	     0.000	 628	  04/84; same data in (692);
2596	230000	 	    23.000	 	     0.000	 807	  09/90;
2597	   843	 	  7620.000	 	    24.000	1379	  73 obs. 08-11/94; part of data in (1055) and (1319);
2597	   843	 	    55.000	<	     3.000	1198	  2 obs. 05/96;
2597	  1380	 	  5490.000	 	   493.000	1379	  22 obs. 08-09/94;
2597	  1490	 	  5500.000	 	     2.000	1055	  30 obs. 08-12/94; 3 outbursts; same data in (1083);
2597	  2290	 	   590.000	 	     0.000	1054	  4 obs. 08/94; VLBI;expansion of radio double 65 mas/d;
2597	  2378	 	  3960.000	 	   378.000	1379	  22 obs. 08-09/94;
2597	  4800	 	  2790.000	 	   241.000	1379	  25 obs. 08-09/94;
2597	  4885	 	  2600.000	 	     1.500	1083	  30 obs. 08-12/94; 3 outbursts; part of data in (1055);
2597	  4885	<	     0.500	 	     0.000	1197	  15 obs. 01-12/95;
2597	  4885	 	    19.000	<	     0.500	1199	  2 obs. 05/96;
2597	  5000	 	  2050.000	 	   110.000	1379	  73 obs. 08-09/94;
2597	  5900	 	  2410.000	 	   413.000	1379	  22 obs. 08-09/94;
2597	  8440	 	  1580.000	 	     1.500	1083	  30 obs. 08-12/94; 3 outbursts;
2597	  8440	<	     0.500	 	     0.000	1197	  15 obs. 01-12/95;
2597	  8580	 	  1770.000	 	    80.000	1379	  72 obs. 08-09/94;
2597	  8640	 	  1850.000	 	   195.000	1379	  25 obs. 08-09/94;
2597	  9200	 	  1770.000	 	   306.000	1379	  23 obs. 08-09/94;
2597	 14900	 	  1000.000	 	     3.500	1083	  30 obs. 08-12/94; 3 outbursts; part of data in (1055);
2597	 22500	 	   580.000	 	     8.000	1083	  30 obs. 08-12/94; 3 outbursts;
2597	230000	 	   130.000	 	     0.000	1056	  08/94;
2597	275000	 	   130.000	 	     0.000	1056	  08/94;
2598	  4885	 	     0.200	 	     0.000	 358	  07/80;
2598	  4885	 	     0.900	 	     0.000	 516	  05/81;
2598	  4885	 	     1.230	 	     1.150	 707	  3 obs. 01/81-04/83; part of data in (386);
2598	 14970	 	     2.000	 	     0.000	 707	  04/83;
2599	  2695	<	     8.000	 	     0.000	 212	  /75;
2599	  4860	 	     0.420	 	     0.000	 622	  11/84-02/86;
2599	  4885	<	     0.420	 	     0.000	 487	  08/83-04/84;
2599	  4885	<	     0.170	 	     0.000	 738	  03/84; same data in (503);
2599	  4885	<	     1.000	 	     0.000	 515	  06/82;
2599	  8085	<	     8.000	 	     0.000	 212	  /75;
2599	 10600	<	    25.000	 	     0.000	 203	  05/73;
2600	275000	 	    36.000	 	     0.000	1159	  02/92-03/93;
2600	375000	 	    83.000	 	     0.000	1159	  02/92-03/93;
2601	  4885	 	     1.100	 	     1.000	 692	  2 obs. 03-04/84; part of data in (628);
2601	 14700	<	     5.000	 	     0.000	 306	  06/77-05/78;
2601	 14940	 	     2.400	 	     0.000	 628	  04/84; same data in (692);
2601	230000	 	    14.700	 	     0.000	 807	  09/90;
2602	  4800	<	     0.300	 	     0.000	1099	  04/94;
2602	  8640	<	     0.300	 	     0.000	1099	  04/94;
2603	  4885	<	     0.360	 	     0.000	 458	  07/82; same data in (745);
2603	  8440	<	     0.070	 	     0.000	 956	  09/89;
2603	 14500	<	    15.000	 	     0.000	 244	  /77;
2604	    86	<	 10000.000	 	     0.000	 605	  /54?;
2604	  1465	<	     0.720	 	     0.000	 600	  05/84;
2605	  8400	 	    21.000	 	    11.400	 617	  12 obs. 81-84; 2nd value: (617) only lists the median;
2606	  4885	<	     0.420	 	     0.000	 458	  07/82; same data in (745);
2606	  8440	 	     0.340	 	     0.000	 956	  09/89;
2606	 14500	<	    20.000	 	     0.000	 244	  /77;
2607	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
2608	   153	 	  7000.000	 	     0.000	 240	  05/65; monitored for 28h; flare;
2608	   160	 	  2500.000	<	   300.000	 266	  72-76; monitored for 64h; 19 flares;
2608	   327	<	    34.000	 	     0.000	 565	  02/86; comp.C; search for cyclotron maser flares;
2608	   408	<	   800.000	 	     0.000	 240	  05/65; monitored for 28h;
2608	  1410	<	   200.000	 	     0.000	 240	  05/65; monitored for 28h;
2608	  1460	<	     0.330	 	     0.000	 565	  02/86; comp.C; search for cyclotron maser flares;
2608	  1480	 	     4.000	 	     0.700	 679	  03/85; monitored for 3 h; flare; same data in (640);
2608	  4860	 	     1.300	 	     0.000	 678	  09/86-03/87;
2608	  4860	 	     1.500	 	     0.700	 679	  03/85; monitored for 3 h; same data in (640);
2608	  4885	 	     1.500	<	     0.200	 415	  5 obs. 08-09/81; same data in (424); comp.A and B;
2608	  4885	<	     0.200	 	     0.000	 497	  /83; comp.A and B;
2608	  4885	<	     0.540	 	     0.000	 690	  09/85;
2608	  4885	 	     0.908	 	     0.000	 932	  11/90; comp. A and B;
2608	  4885	<	     0.099	 	     0.000	 932	  90/91?; comp. C;
2608	  8400	 	     0.315	 	     0.000	 932	  11/90; comp. A and B;
2608	  8400	<	     0.096	 	     0.000	 932	  90/91?; comp. C;
2608	  8420	 	     1.390	 	     0.000	1403	  06/96:
2608	  8440	<	     0.023	 	     0.000	1348	  10/98; comp.B;
2608	 14864	 	     1.560	 	     1.450	1003	  06/87; comp. A and B;
2608	 14960	<	     0.870	 	     0.000	1403	  06/96:
2608	 14965	 	     1.450	 	     0.000	 690	  09/85;
2608	 22480	<	     1.530	 	     0.000	1403	  06/96:
2608	 43310	<	     1.400	 	     0.000	1403	  06/96:
2608	230000	 	    10.000	 	     0.000	 795	  08/90; comp. A and B;
2609	  5000	<	    10.000	 	     0.000	 220	  10-11/76;
2610	  2695	<	    50.000	 	     0.000	  51	  /71;
2610	  8085	<	    50.000	 	     0.000	  51	  /71;
2611	230000	<	    60.000	 	     0.000	 821	  08/90;
2612	  4885	<	     0.200	 	     0.000	 817	  ?;
2613	  8400	<	     4.800	 	     0.000	 714	  11 obs. 02/87-07/88;
2614	  4885	<	     0.090	 	     0.000	 823	  11/84; (699) reported detection from same data;
2615	  8440	<	     1.320	 	     0.000	 952	  09/90;
2615	225000	 	   270.000	 	     0.000	 905	  12/90;
2615	230000	 	   258.000	 	     0.000	1035	  04-12/93;
2615	236000	 	   425.000	 	     0.000	1036	  03/93;
2615	236000	<	   360.000	 	     0.000	1297	  11/95-03/97; no separation from ectended emission;
2615	275000	 	   250.000	 	     0.000	1035	  04-12/93;
2615	350000	 	   689.000	 	     0.000	1035	  04-12/93;
2615	375000	 	  1080.000	 	     0.000	1035	  04-12/93;
2616	 14965	<	     1.400	 	     0.000	 703	  09/86-04/87;
2617	   325	<	   245.000	 	     0.000	 398	  10-11/78;
2617	   430	<	   100.000	 	     0.000	 153	  /73;
2617	  2695	<	     6.000	 	     0.000	 212	  /75;
2617	  4760	<	     3.000	 	     0.000	 320	  07-09/79;
2617	  5000	<	     1.300	<	     1.700	 669	  08-09/86-07/87;
2617	  8085	<	     6.000	 	     0.000	 212	  /75;
2617	 10600	<	    25.000	 	     0.000	 203	  09/72-03/74;
2617	 31400	<	   900.000	 	     0.000	 121	  01-02/73;
2617	 85300	<	  1500.000	 	     0.000	 121	  01-02/73;
2618	 10600	<	    18.000	 	     0.000	 351	  72-79;
2619	  1465	<	     1.230	 	     0.000	 600	  01/86;
2619	  5000	<	     2.300	 	     0.000	 669	  08-09/86;
2620	  4750	<	     0.250	 	     0.000	1287	  04-05/97;
2620	  8570	<	     0.160	 	     0.000	1287	  04-05/97;
2621	  2695	<	    10.000	 	     0.000	 212	  /75;
2621	  5000	<	     8.000	 	     0.000	 220	  10-11/76;
2621	  8085	<	    10.000	 	     0.000	 212	  /75;
2622	  1465	<	     0.600	 	     0.000	 396	  07/81;
2622	  1465	<	     0.125	<	     0.490	1146	  3 obs. 02/92-10/92;
2623	  4885	 	     0.300	 	     0.000	 516	  08/82;
2623	  5000	<	    12.000	 	     0.000	 351	  74-78;
2624	   843	 	     9.810	<	     1.900	1300	  30 obs. 04/94-02/97; part of data in (1010);
2624	   843	 	     6.500	<	     0.200	1357	  20 obs. 09/97-04/99; same data in (1402);
2624	  1380	 	     5.200	 	     0.000	1196	  07/96; detection of a radio jet;
2624	  1380	<	     0.200	 	     0.000	1357	  01/99;
2624	  1440	 	     6.800	<	     1.000	1402	  7 obs. 05/96-05/99;
2624	  2350	 	     7.400	<	     1.800	1402	  5 obs. 05/96-02/96;
2624	  2360	 	     6.000	 	     0.000	1196	  07/96;
2624	  4760	 	     6.000	 	     0.000	1196	  07/96;
2624	  4800	 	     6.000	<	     0.120	1357	  8 obs. 01/98-04/99;
2624	  4800	<	     0.110	 	     0.000	1390	  04/98;
2624	  4800	 	    11.700	<	     0.120	1402	  25 obs. 12/91-07/99;
2624	  5000	 	     5.300	 	     0.000	1233	  09/95;
2624	  8570	 	     7.200	 	     0.000	1196	  07/96; detection of a radio jet;
2624	  8600	 	     6.000	<	     0.120	1357	  7 obs. 01/98-04/99;
2624	  8600	 	     9.100	 	     8.200	1365	  3 obs. 02/97;
2624	  8640	<	     0.130	 	     0.000	1390	  04/98;
2624	  8640	 	    11.800	<	     0.090	1402	  30 obs. 12/91-09/99;
2624	 14700	<	    18.000	 	     0.000	 267	  06-08/77;
2625	  4850	<	    50.000	 	     0.000	 197	  08/69;
2626	  4860	<	     0.600	 	     0.000	 692	  /?;
2626	 14700	<	    18.000	 	     0.000	 267	  06-08/77;
2626	 31400	<	  1800.000	 	     0.000	 121	  01-02/73;
2626	 85300	<	  3900.000	 	     0.000	 121	  01-02/73;
2627	 14965	<	     1.700	 	     0.000	 703	  09/86-04/87;
2628	 14700	 	    19.000	<	     4.000	 267	  06-08/77; flare;
2629	 14965	<	     1.300	 	     0.000	 703	  09/86-04/87;
2630	  1465	 	     0.700	<	     0.450	 806	  6 obs. 06-07/86;
2630	  2695	<	     5.000	 	     0.000	  81	  05-11/71;
2630	  4800	<	     0.110	 	     0.000	1390	  04/98;
2630	  4885	<	     0.340	 	     0.000	 568	  06/82;
2630	  4885	 	     1.277	<	     0.300	 806	  11 obs. 11/84-07/86;
2630	  8085	<	     5.000	 	     0.000	  81	  05-11/71;
2630	  8640	<	     0.390	 	     0.000	1390	  04/98;
2630	 14700	<	    15.000	 	     0.000	 267	  06-08/77;
2630	 31400	<	   300.000	 	     0.000	 121	  01-02/73;
2630	 85300	<	  5100.000	 	     0.000	 121	  01-02/73;
2631	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; comp.A;
2632	  1465	<	     0.765	 	     0.000	 396	  07/81;
2632	  4885	<	     0.360	 	     0.000	 568	  06/82;
2632	 14700	<	    21.000	 	     0.000	 267	  06-08/77;
2633	   610	<	    10.000	 	     0.000	 474	  /75; core only;
2633	  1400	 	    32.000	 	     0.000	 155	  01/74;
2633	  1465	 	     3.900	 	     0.000	 474	  04/82; core only;
2633	  2695	 	    30.000	 	     0.000	 175	  04/74;
2633	  2700	 	    20.000	 	     0.000	 351	  04/74;
2633	  4885	 	     7.400	 	     0.000	 474	  04/82; core only;
2633	  4885	 	    38.200	 	     7.200	 736	  10/86; bipolar structure with core;
2633	  5000	 	    33.000	 	     0.000	 351	  74-78;
2633	  8085	 	    43.000	 	     0.000	 175	  04/74;
2633	  8100	 	    26.000	 	     0.000	 351	  04/74;
2633	  8900	 	    60.000	 	     0.000	 351	  01/75;
2633	 10600	 	    45.000	 	     0.000	 351	  72-79;
2633	 10630	 	    33.000	 	     0.000	  73	  02-07/73;
2633	 10630	 	    45.000	 	     0.000	 115	  5 obs. 02/73-01/74;
2633	 10690	 	    34.000	 	     0.000	 155	  04/73;
2633	 14965	 	    14.800	 	     0.000	 474	  04/82; core only;
2633	 22200	 	    85.000	 	     0.000	 351	  75-79;
2633	 22485	 	    22.100	 	     0.000	 474	  04/82; core only;
2633	 90000	 	   122.000	 	     0.000	 351	  02/75;
2633	115000	 	   150.000	 	     0.000	1230	  02-03/95;
2633	150000	 	   192.000	 	     0.000	1229	  06/88;
2633	240000	 	   360.000	 	     0.000	1298	  03/96-02/97;
2633	250000	 	   370.000	 	     0.000	 950	  2 obs. 12/86-03/89;
2633	275000	 	   277.000	 	     0.000	1229	  06/88;
2633	375000	 	   488.000	 	     0.000	1229	  06/88;
2634	  4860	<	     0.360	 	     0.000	 692	  /?;
2635	  5000	<	     6.000	 	     0.000	 351	  74-78;
2636	  1465	 	     0.950	 	     0.000	 745	  06/87;
2636	  4885	 	     0.900	 	     0.740	 745	  3 obs. 07/82-06/87; part of data in (458);
2636	  8440	 	     1.990	 	     0.000	 956	  09/89;
2636	 14500	<	    15.000	 	     0.000	 244	  /77;
2636	 14965	 	     1.920	 	     1.090	 745	  2 obs. 04/85-06/87;
2636	250000	<	    30.000	 	     0.000	 950	  12/86-01/87;
2637	  1418	<	     0.800	 	     0.000	 554	  05/83;
2637	  5000	<	     1.100	<	     2.600	 669	  08-09/86-07/87;
2638	  2700	<	    60.000	 	     0.000	 351	  04/74;
2638	  5000	 	    26.000	 	     0.000	 351	  74-78;
2638	  6200	 	    30.000	 	     0.000	 351	  02/75;
2638	  8900	<	    30.000	 	     0.000	 351	  01/75;
2638	 14500	 	    25.000	 	     0.000	 351	  77-78;
2639	275000	 	   797.000	 	     0.000	 970	  09/90;
2639	375000	 	  1436.000	 	     0.000	 970	  09/90;
2640	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
2641	  5000	<	     5.100	 	     0.000	 669	  08-09/86;
2641	 14700	<	    18.000	 	     0.000	 267	  06-08/77;
2642	  8440	<	     0.200	 	     0.000	1040	  08-10/93;
2643	  4800	<	     0.120	 	     0.000	1390	  04/98;
2643	  8640	<	     0.120	 	     0.000	1390	  04/98;
2643	 14700	 	    24.000	 	     0.000	 267	  06-08/77;
2644	  4885	<	     1.560	 	     0.000	 458	  07/82; same data in (745);
2644	  8440	 	     1.040	 	     0.000	 956	  01/90;
2644	 14500	<	    15.000	 	     0.000	 244	  /77;
2645	 10600	<	    21.000	 	     0.000	 351	  72-79;
2646	  4885	<	     0.420	 	     0.000	 458	  07/82; same data in (745);
2646	  8440	<	     0.080	 	     0.000	 956	  01/90;
2646	 14500	<	    15.000	 	     0.000	 244	  /77;
2647	 10600	<	    24.000	 	     0.000	 351	  72-79;
2648	  1490	<	     1.980	 	     0.000	 952	  02/91;
2648	  4860	<	     0.190	 	     0.000	 952	  02/91;
2648	  8440	 	     0.240	 	     0.000	 952	  2 obs. 02/90-02/91;
2648	 10600	<	    15.000	 	     0.000	 351	  72-79;
2648	 14949	<	     0.660	 	     0.000	 952	  02/91;
2648	225000	 	    50.000	 	     0.000	 905	  09/90;
2648	236000	 	    52.000	 	     0.000	1036	  03/93;
2649	  8400	<	     4.200	 	     0.000	1115	  4 obs. 02/89-05/90;
2650	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
2651	  4800	<	     1.500	 	     0.000	1115	  04-10/89;
2651	  8400	<	     4.800	 	     0.000	1115	  8 obs. 02/89-05/90;
2652	  4885	<	     0.390	 	     0.000	 458	  02/82; same data in (745);
2652	  8440	 	     0.160	 	     0.000	 956	  01/90;
2652	 10600	<	    36.000	 	     0.000	 351	  72-79;
2652	 14500	<	    15.000	 	     0.000	 244	  /77;
2653	  1400	<	     0.640	 	     0.000	1327	  04/95;
2653	  4885	 	     2.700	 	     0.000	 470	  10/83;
2653	  4885	 	     0.200	 	     0.000	 738	  11/84;
2653	  5000	<	     0.960	 	     0.000	1038	  12/90;
2654	  8400	<	     5.800	 	     0.000	 617	  8 obs. 81-84;
2655	 14700	 	    23.000	 	     0.000	 267	  06-08/77;
2655	 14700	 	    23.000	<	    12.000	 273	  06/77-04/78;
2656	 10600	<	    36.000	 	     0.000	 351	  72-79;
2657	  2300	<	   270.000	 	     0.000	1392	  03-04/97;
2657	  3900	<	    90.000	 	     0.000	1392	  03-04/97;
2657	  7700	<	    80.000	 	     0.000	1392	  03-04/97;
2657	 11200	<	    70.000	 	     0.000	1392	  03-04/97;
2657	 21700	<	   330.000	 	     0.000	1392	  03-04/97;
2658	  5000	<	     0.770	 	     0.000	1017	  11/90-03/91;
2658	  8440	<	     0.230	 	     0.000	1040	  08-10/93;
2659	  2695	<	    10.000	 	     0.000	 212	  /75;
2659	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
2659	  8085	<	    10.000	 	     0.000	 212	  /75;
2660	  4860	<	     0.340	 	     0.000	 692	  /?;
2661	  4885	<	     0.170	<	     0.480	 745	  2 obs. 07/82-02/85; part of data in (458);
2661	  8440	<	     0.090	 	     0.000	 956	  01/90;
2662	230000	<	    80.000	 	     0.000	1267	  2 obs. 02-08/92;
2662	375000	<	   220.000	 	     0.000	1267	  02/92;
2663	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
2664	  5000	<	    12.000	 	     0.000	 351	  74-78;
2665	   843	 	     5.000	 	     0.000	 629	  86/87;
2665	  5000	<	    10.000	 	     0.000	 379	  07/81;
2665	  8400	 	    42.600	 	     7.000	 617	  30 obs. 81-84; 2nd value: (617) only lists the median;
2666	  1465	<	     1.000	 	     0.000	 524	  03/84; comp.A;
2666	  4885	<	     0.500	 	     0.000	 337	  08/80; comp.A;
2666	  4885	 	     1.150	 	     0.800	 423	  2 obs. 01-05/83; comp.A;
2666	  4885	<	     0.500	 	     0.000	 423	  2 obs. 01-05/83; comp.B;
2666	  4885	<	     1.000	 	     0.000	 515	  09/83; resolved;
2666	  4885	 	     1.050	 	     0.650	 524	  3 obs. 01/83-03/84; comp.A;
2666	  5000	<	     5.000	 	     0.000	 155	  05/73;
2666	  5000	<	     5.000	 	     0.000	 220	  10-11/76; search for flares of comp.BC;
2666	 10690	<	     5.000	 	     0.000	 155	  06/73;
